user_id,name,date,location_lat,location_lon,region_id,interests,created_at
0,Benjamin Nelson,2024-01-01T00:00:00,74.37031906739497,49.58254053736198,4,"interest_14,interest_4",2023-08-06T00:00:00
1,Sage White,2024-01-01T00:00:00,90,40.19614709117294,4,"interest_17,interest_18,interest_4",2023-08-18T00:00:00
2,Ella Martin,2024-01-01T00:00:00,-64.90548084944486,122.02326049387447,7,"interest_9,interest_1",2023-07-21T00:00:00
3,Avery Edwards,2024-01-01T00:00:00,18.3295305845377,136.13822340096482,2,"interest_15,interest_8,interest_19,interest_6,interest_10",2023-09-09T00:00:00
4,Olivia Lee,2024-01-01T00:00:00,6.666162626385255,141.5121307444013,2,"interest_17,interest_1",2023-07-07T00:00:00
5,Ella Ramirez,2024-01-01T00:00:00,82.72779217955139,36.47989449602474,4,"interest_4,interest_5,interest_18,interest_1,interest_0",2023-09-12T00:00:00
6,Olivia Gomez,2024-01-01T00:00:00,51.76502176568884,94.1765045073536,6,"interest_4,interest_6,interest_5,interest_10,interest_12",2023-07-11T00:00:00
7,Sage Lee,2024-01-01T00:00:00,-64.98258699965595,104.17040434229132,7,"interest_17,interest_3,interest_16,interest_6",2023-10-01T00:00:00
8,River Rodriguez,2024-01-01T00:00:00,89.2193092343324,-28.49528302547339,5,"interest_15,interest_19,interest_6,interest_10,interest_2",2023-07-18T00:00:00
9,Luke Mitchell,2024-01-01T00:00:00,-90,23.281717575785677,0,"interest_18,interest_3,interest_6",2023-08-25T00:00:00
10,Chloe Martinez,2024-01-01T00:00:00,67.92427110669412,118.47558040812412,6,"interest_9,interest_19,interest_10,interest_12,interest_2",2023-09-17T00:00:00
11,Layla King,2024-01-01T00:00:00,7.307860058123157,124.55091075745044,2,"interest_18,interest_16",2023-09-10T00:00:00
12,Riley Nguyen,2024-01-01T00:00:00,-4.562180224251247,63.65334329657713,3,"interest_9,interest_4,interest_17,interest_13,interest_18",2023-07-06T00:00:00
13,Carter Torres,2024-01-01T00:00:00,28.87826274588564,153.51112513714992,2,"interest_14,interest_19,interest_1,interest_4",2023-08-22T00:00:00
14,Dakota Moore,2024-01-01T00:00:00,69.86915340840254,48.98171385400078,4,"interest_8,interest_13,interest_10,interest_18,interest_0",2023-07-18T00:00:00
15,Riley Edwards,2024-01-01T00:00:00,82.07162027276715,81.46382701694569,6,"interest_12,interest_10,interest_5,interest_16",2023-07-24T00:00:00
16,Michael Thomas,2024-01-01T00:00:00,0.0627884167761561,60.662468665022026,3,"interest_19,interest_15",2023-07-13T00:00:00
17,Layla Rodriguez,2024-01-01T00:00:00,-76.12316341256819,27.499705569941174,0,"interest_9,interest_1,interest_8,interest_7",2023-10-09T00:00:00
18,Aria Sanchez,2024-01-01T00:00:00,1.6869783124349387,140.1514552577494,2,"interest_14,interest_6,interest_10,interest_16",2023-09-14T00:00:00
19,John Walker,2024-01-01T00:00:00,13.454402816568805,52.62493250883968,3,"interest_17,interest_12,interest_10,interest_7",2023-10-24T00:00:00
